Question,Answer
"What is the average lifespan of a domestic cat?","12-15 years"
"How many whiskers does a cat typically have?","24"
"What is the largest breed of domestic cat?","Maine Coon"
"Why do cats purr?","To communicate and self-heal"
"What is a group of cats called?","A clowder"
"How many toes does a cat have on its front paws?","Five"
"What is the most popular cat breed in the United States?","Persian"
"Why do cats knead with their paws?","To mark territory and show comfort"
"What is the normal body temperature of a cat?","101-102.5Â°F"
"How far can a cat jump?","Up to six times its body length"
